date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1994-01-04,Content creator,https://www.facebook.com/JOSHBB19,https://www.instagram.com/josh_martinez_/,https://x.com/JoshMartinez444,,Josh,Martinez,Male,3,1,3,0,3
1993-06-13,Clothing designer,,,https://x.com/deadskulltweets,,Paul,Abrahamian,Non-binary,0,3,3,0,0
1981-12-20,Fitness Entrepreneur,https://www.facebook.com/ChristmasAbbottFanPage,https://www.instagram.com/christmasabbott/,https://x.com/christmasabbott,,Christmas,Abbott,Female,2,0,3,0,7
1961-08-07,Stay-at-home dad,,https://www.instagram.com/bb19kevin/,https://x.com/BB19KEVIN,,Kevin,Schlehuber,Male,0,0,4,1,5
1988-12-20,Eco-friendly marketing rep,https://www.facebook.com/ThisIsAlexOw,https://www.instagram.com/itsalexowhey/,https://x.com/ItsAlexOwDuh,,Alex,Ow,Female,3,1,4,0,2
1994-06-10,Dance Teacher,https://www.facebook.com/RavenWaltonBB19,https://www.instagram.com/walton_raven/,https://x.com/waltonravenBB19,,Raven,Walton,Female,0,0,3,0,3
1979-07-12,Rodeo Clown,https://www.facebook.com/whistlenutole,https://www.instagram.com/whistlenutandole/,https://x.com/whistlenut_ole,,Jason,Dent,Male,2,3,4,0,3
1984-03-31,Renovation Consultant,https://www.facebook.com/Matt17ROC,https://www.instagram.com/mattclines/,https://x.com/MattClines__,,Matt,Clines,Male,0,1,4,0,9
1991-06-13,Personal Trainer,https://www.facebook.com/themarkjansen,https://www.instagram.com/realmarkjansen/,https://x.com/realmarkjansen,,Mark,Jansen,Male,0,2,3,2,4
1990-08-19,Radio Personality,https://www.facebook.com/ElenaDaviesBB19,https://www.instagram.com/elenadavies/,https://x.com/elenadavies,,Elena,Davies,Female,0,0,3,0,6
1985-04-13,Construction Sales Rep,,https://www.instagram.com/codythemarine/,https://x.com/codythemarine,,Cody,Nickson,Male,1,0,3,4,14
1990-12-11,VIP Concierge,https://www.facebook.com/Theejessicagraf,https://www.instagram.com/thejessicanickson/,https://x.com/thejessicagraf,,Jessica,Graf,Female,1,1,3,0,7
1995-12-18,Cosplay Artist,,https://www.instagram.com/ramsessoto_/,https://x.com/TheBBHomie1,,Ramses,Soto,Male,0,0,2,0,10
1986-07-11,Government Engineer,,,https://x.com/CDmAI,,Dominique,Cooper,Female,0,0,1,0,10
1993-05-12,Timeshare Sales Rep,,https://www.instagram.com/alohaloca24/,https://x.com/jilliannicoleww,,Jillian,Parker,Female,0,0,2,0,11
1989-03-07,Dog Walker,,https://www.instagram.com/lovelyaphorist/,https://x.com/MeganAnnBB19,,Megan,Lowder,Female,0,0,1,0,0
1985-02-10,Recruiting Coordinator,,https://www.instagram.com/cameronnheard/,,,Cameron,Heard,Male,0,0,1,1,8
